beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,index
3,3.0,2850.0,sqft,4200.0,sqft,98119,1175000.0,1
3,2.0,2360.0,sqft,12196.800000000001,sqft,98188,565000.0,4
3,3.5,1942.0,sqft,1603.0,sqft,98107,1187000.0,5
4,2.0,2060.0,sqft,4206.0,sqft,98144,1025000.0,9
3,2.5,1760.0,sqft,3630.0,sqft,98122,1135000.0,11
3,2.0,2500.0,sqft,5000.0,sqft,98136,648000.0,13
3,3.0,2340.0,sqft,6640.0,sqft,98126,974898.0,20
4,2.0,1690.0,sqft,13939.2,sqft,98168,550000.0,21
3,2.5,2320.0,sqft,3500.0,sqft,98103,1175000.0,22
3,2.0,1610.0,sqft,3060.0,sqft,98146,540000.0,26
4,2.5,2010.0,sqft,6000.0,sqft,98136,982000.0,29
3,2.0,1910.0,sqft,2000.0,sqft,98109,1090000.0,36
3,2.0,2210.0,sqft,7200.0,sqft,98118,1425000.0,38
3,2.5,2168.0,sqft,3994.0,sqft,98119,1700000.0,39
3,2.0,2760.0,sqft,4800.0,sqft,98105,1235000.0,40
4,3.0,2190.0,sqft,4000.0,sqft,98112,1685000.0,44
4,3.5,4027.0,sqft,13068.0,sqft,98199,2170000.0,45
4,2.5,3410.0,sqft,9602.0,sqft,98125,1700000.0,46
3,2.0,1850.0,sqft,3880.0,sqft,98117,890000.0,48
3,2.5,2220.0,sqft,8353.0,sqft,98177,1350000.0,54
3,3.0,2225.0,sqft,3994.0,sqft,98101,2850000.0,57
3,2.0,1648.0,sqft,6250.0,sqft,98126,765000.0,58
3,2.5,1785.0,sqft,1500.0,sqft,98144,850000.0,60
4,2.5,3200.0,sqft,12196.800000000001,sqft,98118,1100000.0,65
3,2.5,1220.0,sqft,1095.0,sqft,98109,900000.0,67
3,2.0,1330.0,sqft,2875.0,sqft,98126,705000.0,68
4,3.0,3160.0,sqft,4830.0,sqft,98116,1425000.0,71
3,2.0,1305.0,sqft,4400.0,sqft,98118,714000.0,72
3,2.0,2798.0,sqft,3667.0,sqft,98109,1185000.0,73
4,2.0,2100.0,sqft,4799.0,sqft,98199,1000000.0,74
3,2.5,1830.0,sqft,1929.0,sqft,98116,1150000.0,79
3,2.5,1800.0,sqft,2380.0,sqft,98126,715000.0,80
3,2.0,2470.0,sqft,4192.0,sqft,98105,705000.0,81
3,2.5,1540.0,sqft,1189.0,sqft,98107,756000.0,86
4,2.5,1690.0,sqft,6000.0,sqft,98108,399950.0,89
3,2.0,1540.0,sqft,3755.0,sqft,98108,632500.0,96
3,2.5,1660.0,sqft,8450.0,sqft,98146,695000.0,97
3,2.0,1640.0,sqft,4320.0,sqft,98136,907500.0,98
4,2.0,1300.0,sqft,6240.0,sqft,98146,589950.0,100
3,2.5,1390.0,sqft,1242.0,sqft,98125,569995.0,104
4,2.5,1333.0,sqft,53143.2,sqft,98118,476000.0,107
4,3.5,2780.0,sqft,3060.0,sqft,98146,900000.0,114
3,3.5,1770.0,sqft,1669.0,sqft,98107,1025000.0,115
4,2.5,3096.0,sqft,9375.0,sqft,98177,1870000.0,116
3,2.0,1710.0,sqft,6179.0,sqft,98117,1015000.0,121
3,2.0,1250.0,sqft,1306.0,sqft,98107,750000.0,122
4,2.0,3195.0,sqft,5434.0,sqft,98199,1490000.0,123
3,3.5,1650.0,sqft,1701.0,sqft,98107,1050000.0,127
4,2.0,2950.0,sqft,3417.0,sqft,98199,1200000.0,129
4,3.0,2480.0,sqft,5000.0,sqft,98105,1950000.0,130
3,2.0,1600.0,sqft,6845.0,sqft,98125,500000.0,131
4,2.5,2660.0,sqft,5300.0,sqft,98122,1745000.0,133
4,3.0,2960.0,sqft,8645.0,sqft,98178,875000.0,134
3,2.5,2060.0,sqft,1142.0,sqft,98103,1170000.0,135
3,3.0,1860.0,sqft,3060.0,sqft,98119,1260000.0,136
3,2.0,1404.0,sqft,9974.0,sqft,98146,449000.0,138
3,3.0,1540.0,sqft,993.0,sqft,98122,900000.0,139
3,2.0,1840.0,sqft,5100.0,sqft,98136,851000.0,142
4,3.5,3738.0,sqft,4000.0,sqft,98102,3480000.0,144
3,2.5,1757.0,sqft,1873.0,sqft,98103,1155000.0,150
4,3.5,3760.0,sqft,4720.0,sqft,98116,2200000.0,154
4,2.5,3480.0,sqft,5043.0,sqft,98103,2150000.0,157
3,2.0,1500.0,sqft,4500.0,sqft,98107,905000.0,164
3,2.5,1360.0,sqft,1001.0,sqft,98144,719950.0,168
4,3.5,3500.0,sqft,4080.0,sqft,98115,1720000.0,170
4,2.5,2230.0,sqft,5878.0,sqft,98115,1475000.0,173
4,3.0,2580.0,sqft,7200.0,sqft,98118,1025000.0,177
3,2.5,2720.0,sqft,4609.0,sqft,98103,1450000.0,178
3,3.0,2290.0,sqft,3000.0,sqft,98103,1108000.0,179
3,2.5,2750.0,sqft,3750.0,sqft,98103,1300000.0,180
4,3.5,2970.0,sqft,5323.0,sqft,98199,2334500.0,183
4,2.0,1840.0,sqft,7335.0,sqft,98108,640000.0,184
4,3.0,3510.0,sqft,8268.0,sqft,98122,1550000.0,185
3,2.0,2330.0,sqft,5000.0,sqft,98117,1160000.0,188
4,3.5,3140.0,sqft,3751.0,sqft,98117,1825000.0,192
3,2.0,1360.0,sqft,6656.0,sqft,98115,935000.0,193
4,3.0,2360.0,sqft,9130.0,sqft,98136,1100000.0,196
3,2.0,1550.0,sqft,795.0,sqft,98199,699000.0,197
4,3.5,4120.0,sqft,6950.0,sqft,98178,1209000.0,206
4,2.0,1780.0,sqft,3650.0,sqft,98117,965000.0,207
3,2.0,1281.0,sqft,625.0,sqft,98136,670000.0,210
3,2.5,2760.0,sqft,6003.0,sqft,98115,1565000.0,211
4,2.5,2210.0,sqft,5750.0,sqft,98116,1225000.0,213
4,3.5,2023.0,sqft,3096.0,sqft,98122,1325000.0,214
3,2.5,2710.0,sqft,6840.0,sqft,98178,880000.0,216
4,2.5,2020.0,sqft,7280.0,sqft,98133,903000.0,219
3,3.0,2000.0,sqft,3210.0,sqft,98103,990000.0,221
3,2.5,1690.0,sqft,3264.0,sqft,98126,780000.0,225
4,2.5,3190.0,sqft,4700.0,sqft,98144,869000.0,226
3,2.5,2130.0,sqft,3100.0,sqft,98115,930000.0,228
3,2.5,1480.0,sqft,5183.0,sqft,98115,890000.0,229
3,3.5,1430.0,sqft,1200.0,sqft,98112,1000000.0,230
3,2.0,2160.0,sqft,4313.0,sqft,98125,720000.0,234
3,2.0,2010.0,sqft,5618.0,sqft,98146,850000.0,235
3,2.5,2963.0,sqft,13503.6,sqft,98177,1480000.0,239
3,2.0,1939.0,sqft,4949.0,sqft,98119,1450000.0,240
4,3.0,1999.0,sqft,800.0,sqft,98102,1350000.0,244
3,2.5,1681.0,sqft,172933.2,sqft,98126,610000.0,248
3,2.5,1512.0,sqft,1119.0,sqft,98144,755000.0,249
